id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
999037521000230111	20251211	1	999000011000230102	999036611000230102	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping White English or Welsh or Scottish or Northern Irish or British ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037531000230113	20251211	1	999000011000230102	999036611000230102	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping White English or Welsh or Scottish or Northern Irish or British ethnicity simple reference set	900000000000017005
999037541000230119	20251211	1	999000011000230102	999036621000230105	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping White Irish ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037551000230116	20251211	1	999000011000230102	999036621000230105	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping White Irish ethnicity simple reference set	900000000000017005
999037561000230118	20251211	1	999000011000230102	999036631000230107	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping White Any other White background ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037571000230110	20251211	1	999000011000230102	999036631000230107	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping White Any other White background ethnicity simple reference set	900000000000017005
999037581000230112	20251211	1	999000011000230102	999036641000230101	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Mixed or multiple ethnic groups White and Black Caribbean ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037591000230114	20251211	1	999000011000230102	999036641000230101	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Mixed or multiple ethnic groups White and Black Caribbean ethnicity simple reference set	900000000000017005
999037601000230118	20251211	1	999000011000230102	999036651000230103	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Mixed or multiple ethnic groups White and Black African ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037611000230116	20251211	1	999000011000230102	999036651000230103	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Mixed or multiple ethnic groups White and Black African ethnicity simple reference set	900000000000017005
999037621000230112	20251211	1	999000011000230102	999036661000230100	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Mixed or multiple ethnic groups White and Asian ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037631000230114	20251211	1	999000011000230102	999036661000230100	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Mixed or multiple ethnic groups White and Asian ethnicity simple reference set	900000000000017005
999037641000230115	20251211	1	999000011000230102	999036671000230109	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Any other Mixed or multiple ethnic background ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037651000230117	20251211	1	999000011000230102	999036671000230109	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Any other Mixed or multiple ethnic background ethnicity simple reference set	900000000000017005
999037661000230119	20251211	1	999000011000230102	999036681000230106	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Asian or Asian British Indian ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037671000230111	20251211	1	999000011000230102	999036681000230106	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Asian or Asian British Indian ethnicity simple reference set	900000000000017005
999037681000230113	20251211	1	999000011000230102	999036691000230108	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Asian or Asian British Pakistani ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037691000230110	20251211	1	999000011000230102	999036691000230108	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Asian or Asian British Pakistani ethnicity simple reference set	900000000000017005
999037701000230110	20251211	1	999000011000230102	999036701000230108	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Asian or Asian British Bangladeshi ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037711000230112	20251211	1	999000011000230102	999036701000230108	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Asian or Asian British Bangladeshi ethnicity simple reference set	900000000000017005
999037721000230116	20251211	1	999000011000230102	999036711000230105	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Asian or Asian British Any other Asian background ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037731000230119	20251211	1	999000011000230102	999036711000230105	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Asian or Asian British Any other Asian background ethnicity simple reference set	900000000000017005
999037741000230113	20251211	1	999000011000230102	999036721000230102	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Black or African or Caribbean or Black British Caribbean ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037751000230111	20251211	1	999000011000230102	999036721000230102	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Black or African or Caribbean or Black British Caribbean ethnicity simple reference set	900000000000017005
999037761000230114	20251211	1	999000011000230102	999036731000230100	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Black or African or Caribbean or Black British African ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037771000230117	20251211	1	999000011000230102	999036731000230100	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Black or African or Caribbean or Black British African ethnicity simple reference set	900000000000017005
999037781000230115	20251211	1	999000011000230102	999036741000230106	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Any other Black, African or Caribbean background ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037791000230118	20251211	1	999000011000230102	999036741000230106	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Any other Black, African or Caribbean background ethnicity simple reference set	900000000000017005
999037801000230119	20251211	1	999000011000230102	999036751000230109	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Asian or Asian British Chinese ethnicity simple reference set (foundation metadata concept)	900000000000017005
999037811000230117	20251211	1	999000011000230102	999036751000230109	en	900000000000013009	UK NHS primary care data extraction - General practice data extraction - NHS England grouping Asian or Asian British Chinese ethnicity simple reference set	900000000000017005
999037821000230113	20251211	1	999000011000230102	999036761000230107	en	900000000000003001	United Kingdom National Health Service primary care data extraction - General practice data extraction - NHS England grouping Other ethnic group Any other ethnic group ethnicity simple reference set (foundation metadata concept)	900000000000017005
